MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
7.7,22.9,0.0,6.0,10.8,0.1983805668024938,39.0,0.20000000000586673,0.1806167401127485,11.0,19.0,61.0,50.0,1024.5,1020.8,5.0,1.0,17.8,21.2,0.0,0
-1.0,18.6,0.0,2.8,10.2,0.14044944703254658,28.0,0.15625000164196612,0.12676056370375144,9.0,9.0,55.0,23.0,1021.7,1018.1,1.0,1.0,8.0,17.8,0.0,0
11.9,24.1,0.0,1.0,9.9,0.24836593994152992,26.0,0.21604937498451868,0.15422885641681935,15.0,13.0,60.0,49.0,1025.5,1021.3,2.0,1.0,15.8,22.6,0.0,0
14.7,26.5,0.0,6.6,10.1,0.1982758620729492,57.0,0.17733990178644568,0.12676056370375144,19.0,30.0,56.0,49.0,1022.5,1018.2,6.0,3.0,21.6,24.9,0.0,0
20.5,36.4,0.0,9.8,12.4,0.14044944703254658,48.0,0.23929471032745592,0.21951219511968253,13.0,26.0,39.0,27.0,1006.2,1002.0,7.0,8.0,29.6,35.8,0.0,0
21.5,33.7,0.0,8.6,11.0,0.14044944703254658,39.0,0.15625000164196612,0.21951219511968253,17.0,15.0,46.0,25.0,1013.8,1009.8,1.0,1.0,26.0,33.0,0.0,0
11.8,15.6,10.2,0.2,0.0,0.2751937984463616,17.0,0.15625000164196612,0.32121206244590683,2.0,9.0,97.0,94.0,1019.5,1018.4,7.0,8.0,14.6,14.3,1.0,0
18.3,29.0,0.0,7.0,9.6,0.16269841270194094,20.0,0.1656441958335392,0.1330275231161971,4.0,9.0,63.0,62.0,1011.5,1007.8,4.0,4.0,24.2,26.6,0.0,0
20.3,31.1,0.0,9.4,10.7,0.10330578514712196,37.0,0.2944444343442293,0.23113207535041638,20.0,15.0,39.0,64.0,1006.0,1005.7,2.0,2.0,28.0,25.3,0.0,0
6.6,23.0,0.0,2.0,7.7,0.1983805668024938,31.0,0.23444976058129374,0.19306930707562944,2.0,13.0,78.0,46.0,1028.8,1026.2,1.0,3.0,15.1,21.6,0.0,0
